Time_s,Ch_0,Ch_1,Ch_2,Ch_3,Ch_4,Ch_5,Ch_6
0.000000,-0.636316,-0.079651,0.080017,0.921509,2.648855,17.068703,1.343511
0.000466,-0.934081,-0.074829,0.070068,0.923218,-0.664122,16.854961,1.290076
0.000931,-1.207507,-0.071472,0.056335,0.931152,-7.297710,17.251909,0.625954
0.001397,-1.454414,-0.076721,0.042297,0.941956,-11.664123,18.610687,0.053435
0.001862,-1.675135,-0.079712,0.030518,0.948792,-13.312977,19.854961,0.038168
0.002328,-1.869337,-0.087219,0.021973,0.954834,-11.503817,20.213741,0.549618
0.002793,-2.038865,-0.087646,0.018555,0.957825,-6.633588,19.839695,1.015267
0.003259,-2.188922,-0.084167,0.018433,0.959412,0.343511,19.137405,1.511450
0.003724,-2.319677,-0.086365,0.021729,0.959045,8.519084,18.358778,1.702290
0.004190,-2.432807,-0.081482,0.026794,0.956177,15.732824,17.648855,1.396947
0.004655,-2.459495,-0.083313,0.031921,0.953979,19.572519,16.938931,0.862595
0.005121,2.413504,-0.081238,0.039124,0.950378,19.931297,17.755726,0.396947
0.005586,5.499916,-0.082214,0.047729,0.941772,17.893129,18.656488,0.396947
0.006052,5.499916,-0.079468,0.055786,0.933899,14.167939,17.893129,0.648855
0.006517,5.499916,-0.070435,0.055359,0.924438,8.167939,16.809160,0.664122
0.006983,5.499916,-0.063721,0.050476,0.920105,4.679389,16.931297,0.603053
0.007448,5.499916,-0.055359,0.045593,0.923950,-2.625954,18.381680,0.541985
0.007914,5.499916,-0.052795,0.036316,0.935913,-9.114504,20.244274,0.885496
0.008379,5.499916,-0.054443,0.025818,0.941956,-13.908397,21.847328,1.152672
0.008845,5.499916,-0.063599,0.018494,0.953552,-16.236641,23.580153,1.145038
0.009310,5.499916,-0.074097,0.011353,0.963745,-15.183207,24.908398,1.656489
0.009776,5.499916,-0.084045,0.002808,0.966980,-10.870229,24.854961,1.938931
0.010241,5.499916,-0.095093,0.005554,0.974365,-3.954198,24.183207,1.748092
0.010707,5.499916,-0.101440,0.009644,0.974182,5.381680,23.091602,1.511450
0.011172,5.499916,-0.107910,0.021790,0.971802,15.297709,21.847328,1.045802
0.011638,5.499916,-0.108521,0.038269,0.971863,24.793894,20.396946,0.648855
0.012103,5.499916,-0.114563,0.056274,0.959473,31.770992,19.030535,0.404580
0.012569,5.499916,-0.118774,0.077087,0.949036,35.404579,18.274809,0.404580
0.013034,5.499916,-0.118652,0.094604,0.936218,35.595421,17.923664,0.259542
0.013500,5.499916,-0.119019,0.109924,0.923035,31.786259,17.656488,0.045802
0.013966,5.499916,-0.113159,0.122437,0.909241,28.572519,17.824427,-0.274809
0.014431,5.499916,-0.116943,0.129028,0.898743,19.862595,18.412214,-0.900763
0.014897,5.499916,-0.114746,0.128052,0.891907,8.488549,18.877863,-1.129771
0.015362,5.499916,-0.111328,0.116699,0.896912,-3.816794,18.450382,-1.083969
0.015828,5.499916,-0.106995,0.102173,0.907532,-16.404581,18.641222,-1.541985
0.016293,5.499916,-0.101379,0.082153,0.919861,-26.832062,19.809160,-2.030534
0.016759,5.499916,-0.099060,0.064148,0.936707,-33.145039,20.954199,-2.251908
0.017224,-5.312428,-0.096497,0.054260,0.944519,-34.526718,20.725191,-2.335878
0.017690,-5.491691,-0.092957,0.031494,0.957886,-31.931297,19.496183,-2.351145
0.018155,-5.493034,-0.084351,0.015808,0.967407,-26.091602,19.343512,-2.702290
0.018621,-5.493538,-0.084290,0.003662,0.976807,-16.923664,19.770992,-2.755725
0.019086,-5.493706,-0.084595,-0.002075,0.978699,-6.099236,19.251909,-2.916031
0.019552,-5.494041,-0.085205,0.000916,0.980530,4.732824,18.183207,-3.358779
0.020017,-5.493874,-0.084839,0.010254,0.975769,13.984733,17.473282,-3.450382
0.020483,-5.494041,-0.085327,0.021179,0.972412,17.801527,17.213741,-3.496183
0.020948,-5.494209,-0.088928,0.037903,0.959045,22.832062,16.877863,-3.801527
0.021414,-5.494209,-0.089355,0.056396,0.943237,24.770992,16.816793,-4.022901
0.021879,-5.494209,-0.086914,0.072632,0.921814,22.687023,16.755726,-4.465649
0.022345,-5.494041,-0.083496,0.075256,0.911804,17.251909,16.687023,-4.709924
0.022810,-5.494377,-0.086792,0.075195,0.903870,8.206107,16.900763,-5.183206
0.023276,-5.494209,-0.084961,0.071533,0.906067,-3.206107,18.053434,-5.389313
0.023741,-5.494377,-0.085144,0.059204,0.912476,-15.442748,19.587786,-5.557252
0.024207,-5.494377,-0.089294,0.051208,0.915344,-25.969465,21.625954,-5.442748
0.024672,-5.494377,-0.098389,0.038086,0.927551,-32.793892,23.404581,-5.206107
0.025138,-5.494377,-0.100281,0.021301,0.941956,-34.839695,23.396946,-4.946565
0.025603,-5.494209,-0.107300,0.008484,0.957703,-31.244274,21.908398,-5.229008
0.026069,-5.494377,-0.108215,-0.000183,0.976440,-22.984734,19.549618,-5.587786
0.026534,-5.494377,-0.108215,-0.000183,0.976440,-22.984734,19.549618,-5.587786
0.027000,-5.494377,-0.099182,-0.015808,0.981445,-2.167939,16.618320,-5.687023
0.027465,-5.494209,-0.085449,-0.014648,0.972656,2.465649,16.267176,-5.687023
0.027931,-5.494209,-0.073547,-0.013062,0.962952,10.068703,15.366412,-5.702290
0.028397,-5.494209,-0.058472,-0.005371,0.948181,14.305344,14.244275,-5.389313
0.028862,-5.494209,-0.041016,-0.001709,0.939148,14.320611,13.717557,-4.450382
0.029328,-5.494377,-0.030273,-0.000916,0.935181,9.946565,15.229008,-2.809160
0.029793,-5.494209,-0.026917,-0.001038,0.928406,1.992366,19.007633,-1.419847
0.030259,-5.494209,-0.038879,-0.000488,0.924622,-7.488550,23.694656,-0.290076
0.030724,-5.494209,-0.045593,-0.002075,0.927002,-15.282443,27.916031,0.320611
0.031190,-5.494209,-0.072998,-0.001099,0.937561,-19.603054,29.564886,0.595420
0.031655,-5.494377,-0.096985,-0.006958,0.947266,-20.145039,28.732824,1.160305
0.032121,-5.494377,-0.115906,-0.014160,0.951843,-17.648855,26.801527,1.526718
0.032586,-5.494545,-0.131897,-0.021484,0.953430,-13.763359,25.526718,1.595420
0.033052,-5.494377,-0.137451,-0.027222,0.952209,-9.503817,24.961832,1.572519
0.033517,-5.494377,-0.142090,-0.032715,0.948059,-5.610687,23.389313,1.236641
0.033983,-5.494377,-0.145203,-0.033936,0.950439,-2.175573,21.297710,1.320611
0.034448,-5.494713,-0.139587,-0.035767,0.956238,-0.404580,20.435114,1.641221
0.034914,-5.494545,-0.139587,-0.037598,0.956726,3.122137,20.229008,2.236641
0.035379,-5.494377,-0.139709,-0.029724,0.959229,6.473282,21.083969,2.625954
0.035845,-5.494209,-0.139099,-0.017395,0.959595,11.229008,21.312977,3.106870
0.036310,-5.494377,-0.136108,-0.002930,0.960266,17.396946,20.152672,3.389313
0.036776,-5.494881,-0.131348,0.015503,0.961975,24.458015,18.236641,3.770992
0.037241,-4.959777,-0.117676,0.030334,0.955994,30.679390,15.992367,4.076336
0.037707,-4.128252,-0.111206,0.035583,0.946167,33.419846,14.473283,3.702290
0.038172,-3.019440,-0.099609,0.045593,0.933289,32.458015,15.801527,3.648855
0.038638,-2.291142,-0.095825,0.067932,0.923889,29.862595,18.267176,4.206107
0.039103,-1.626627,-0.090637,0.088074,0.920471,26.832062,18.786259,5.328244
0.039569,-1.007935,-0.084229,0.095154,0.923523,21.022902,16.992367,5.389313
0.040034,-0.458732,-0.075928,0.096375,0.915894,10.854961,16.435114,4.625954
0.040500,0.038102,-0.069031,0.082092,0.897583,-3.587786,18.603054,3.748092
0.040965,0.479210,-0.070801,0.065674,0.892944,-11.816793,20.160305,3.488550
0.041431,0.873991,-0.078735,0.041870,0.907959,-27.572519,23.480917,2.832061
0.041897,1.228489,-0.092285,0.015381,0.928894,-40.435116,25.412214,2.305344
0.042362,1.542031,-0.107300,-0.010254,0.954956,-46.992367,26.488550,2.068702
0.042828,1.807904,-0.121826,-0.031067,0.973083,-46.061069,26.839695,1.809160
0.043293,2.035843,-0.132324,-0.047363,0.984558,-37.931297,26.015266,2.183206
0.043759,2.243641,-0.135864,-0.057922,0.991943,-23.595419,23.442749,2.122137
0.044224,2.423239,-0.135254,-0.061157,0.995483,-6.007634,19.786259,1.732824
0.044690,2.575311,-0.133789,-0.058716,0.991821,11.000000,16.923664,0.488550
0.045155,2.694484,-0.134033,-0.046448,0.980957,25.488550,15.641221,-0.320611
0.045621,2.784115,-0.129517,-0.032166,0.967957,35.526718,14.587787,-0.900763
0.046086,2.327565,-0.120667,-0.010925,0.951416,39.877861,12.664123,-1.267176
0.046552,-4.432227,-0.106384,0.009705,0.940979,38.717556,11.534351,-1.687023
0.047017,-5.492531,-0.090454,0.028992,0.928772,32.816795,12.877863,-2.114504
0.047483,-5.494041,-0.081604,0.044189,0.918335,23.977098,15.343512,-2.320611
0.047948,-5.494545,-0.080078,0.052979,0.910828,18.656488,16.709923,-2.511450
0.048414,-5.494881,-0.085327,0.055054,0.910278,7.541985,18.625954,-2.946565
0.048879,-5.494881,-0.094666,0.052734,0.919800,-2.770992,20.183207,-3.213740
0.049345,-5.494881,-0.100464,0.041687,0.919617,-11.519084,20.717558,-3.061069
0.049810,-5.494881,-0.106384,0.022522,0.923462,-18.076336,20.702290,-2.862595
0.050276,-5.495048,-0.105408,0.006775,0.936462,-22.412214,19.664122,-2.610687
0.050741,-5.495048,-0.105469,-0.013611,0.952515,-23.793894,18.732824,-2.328244
0.051207,-5.495048,-0.102478,-0.022522,0.958618,-22.206106,18.793894,-1.809160
0.051672,-1.445686,-0.102112,-0.038025,0.967163,-17.977098,20.167938,-0.969466
0.052138,5.498573,-0.105835,-0.045349,0.967041,-11.099236,21.847328,-0.152672
0.052603,5.499916,-0.116577,-0.043823,0.972778,-2.083969,21.687023,-0.427481
0.053069,5.499916,-0.116577,-0.043823,0.972778,-2.083969,21.687023,-0.427481
0.053534,5.499916,-0.129761,-0.035156,0.965881,15.671756,16.809160,-1.458015
0.054000,5.499916,-0.124878,-0.023804,0.958923,22.343512,15.167939,-1.458015
0.054465,5.499916,-0.124878,-0.023804,0.958923,22.343512,15.167939,-1.458015
0.054931,5.499916,-0.102966,0.004517,0.944031,26.610687,14.122137,-1.534351
0.055397,5.499916,-0.091553,0.013306,0.937622,24.923664,14.038168,-2.190840
0.055862,5.499916,-0.093262,0.023560,0.930786,20.732824,15.129771,-2.442748
0.056328,5.499916,-0.091980,0.028809,0.924744,14.832061,16.534351,-2.030534
0.056793,5.499916,-0.092896,0.031677,0.924194,8.755725,17.992367,-1.748092
0.057259,5.499916,-0.093384,0.028931,0.925598,2.740458,18.366413,-1.839695
0.057724,-2.934508,-0.097717,0.017334,0.928101,-2.488550,18.160305,-2.152672
0.058190,5.295476,-0.100525,0.016479,0.932739,-6.893130,18.671755,-2.328244
0.058655,5.499916,-0.104797,0.005310,0.934082,-9.694656,19.358778,-2.053435
0.059121,5.499916,-0.100586,-0.005188,0.941467,-10.633588,19.145039,-1.748092
0.059586,5.499916,-0.103394,-0.013306,0.951416,-9.671756,18.916031,-1.374046
0.060052,5.499916,-0.107727,-0.022583,0.963562,-6.496183,18.870230,-0.877863
0.060517,5.499916,-0.105652,-0.028748,0.967285,-2.511450,19.664122,-0.755725
0.060983,5.499916,-0.111206,-0.027588,0.962036,2.343511,20.396946,-0.748092
0.061448,5.499916,-0.117432,-0.021912,0.956970,4.839694,20.099237,-0.656489
0.061914,-0.518151,-0.118713,-0.019714,0.954163,10.442748,18.015266,-0.702290
0.062379,-5.489845,-0.114258,-0.017395,0.947083,14.679389,15.419847,-0.778626
0.062845,-5.493538,-0.108032,-0.015015,0.937561,16.236641,14.038168,-0.694656
0.063310,-5.494377,-0.102478,-0.011292,0.936340,15.282443,15.083969,-0.603053
0.063776,-5.494377,-0.102478,-0.002563,0.942200,14.122137,16.885496,-0.717557
0.064241,-5.494545,-0.101990,0.004883,0.944702,13.755725,16.526718,-0.984733
0.064707,-5.494713,-0.100464,0.002808,0.944397,13.374045,14.984733,-1.083969
0.065172,-5.239918,-0.100281,-0.000916,0.940247,12.213740,15.305344,-0.992366
0.065638,1.921370,-0.095337,-0.008728,0.935059,8.603053,17.358778,-0.809160
0.066103,3.085573,-0.094299,-0.018982,0.926758,3.183206,20.488550,-1.541985
0.066569,5.495888,-0.105835,-0.031616,0.919983,-2.473282,23.603054,-2.030534
0.067034,-0.310689,-0.119507,-0.041931,0.921997,-6.763359,25.442749,-2.381679
0.067500,-5.489677,-0.134827,-0.049561,0.942200,-7.183206,26.427481,-2.503817
0.067965,-5.493706,-0.145203,-0.045166,0.969421,-2.106870,24.702290,-2.778626
0.068431,5.412299,-0.150269,-0.044189,0.993103,2.534351,22.656488,-3.076336
0.068896,5.499916,-0.146667,-0.039978,1.000122,13.992367,17.145039,-3.908397
0.069362,5.499916,-0.131104,-0.031738,0.994751,26.694656,12.022901,-3.755725
0.069828,5.499916,-0.104370,-0.017761,0.974304,38.465649,9.938931,-2.717557
0.070293,5.499916,-0.104370,-0.017761,0.974304,38.465649,9.938931,-2.717557
0.070759,5.499916,-0.077881,0.033447,0.982849,56.656490,8.305344,-0.610687
0.071224,1.997070,-0.071411,0.056396,0.974854,62.129772,6.809160,-0.862595
0.071690,5.499916,-0.073608,0.070801,0.958740,64.435112,7.488550,-0.908397
