Rel_Time,System_Time,S6_EMG_1
0.000000,18:00:50.720,-0.487602
0.000466,18:00:50.721,-0.487602
0.000931,18:00:50.721,-0.655787
0.001397,18:00:50.721,-0.856870
0.001862,18:00:50.722,-0.856870
0.002328,18:00:50.722,-0.836057
0.002793,18:00:50.723,-0.776303
0.003259,18:00:50.723,-0.719066
0.003724,18:00:50.724,-0.719066
0.004190,18:00:50.724,-0.583780
0.004655,18:00:50.725,-0.533593
0.005121,18:00:50.725,-0.524865
0.005586,18:00:50.726,-0.544671
0.006052,18:00:50.726,-0.545678
0.006517,18:00:50.727,-0.515465
0.006983,18:00:50.727,-0.480888
0.007448,18:00:50.727,-0.480888
0.007914,18:00:50.728,-0.367086
0.008379,18:00:50.728,-0.233814
0.008845,18:00:50.729,-0.053208
0.009310,18:00:50.729,0.184298
0.009776,18:00:50.730,0.509758
0.010241,18:00:50.730,0.895476
0.010707,18:00:50.731,1.229160
0.011172,18:00:50.731,1.436622
0.011638,18:00:50.732,1.530617
0.012103,18:00:50.732,1.540352
0.012569,18:00:50.733,1.494194
0.013034,18:00:50.733,1.418830
0.013500,18:00:50.734,1.292271
0.013966,18:00:50.734,1.071885
0.014431,18:00:50.734,0.781003
0.014897,18:00:50.735,0.781003
0.015362,18:00:50.735,0.263020
0.015828,18:00:50.736,0.033402
0.016293,18:00:50.736,-0.245228
0.016759,18:00:50.737,-0.523857
0.017224,18:00:50.737,-0.736019
0.017690,18:00:50.738,-0.906889
0.018155,18:00:50.738,-1.086152
0.018621,18:00:50.739,-1.268437
0.019086,18:00:50.739,-1.426886
0.019552,18:00:50.740,-1.567544
0.020017,18:00:50.740,-1.706859
0.020483,18:00:50.741,-1.829389
0.020948,18:00:50.741,-1.909957
0.021414,18:00:50.741,-1.930938
0.021879,18:00:50.742,-1.894514
0.022345,18:00:50.742,-1.802533
0.022810,18:00:50.743,-1.687053
0.023276,18:00:50.743,-1.580301
0.023741,18:00:50.744,-1.469520
0.024207,18:00:50.744,-1.346822
0.024672,18:00:50.745,-1.241581
0.025138,18:00:50.745,-1.183673
0.025603,18:00:50.746,-1.158999
0.026069,18:00:50.746,-1.112673
0.026534,18:00:50.747,-1.041001
0.027000,18:00:50.747,-0.981918
0.027466,18:00:50.748,-0.924849
0.027931,18:00:50.748,-0.820951
0.028397,18:00:50.748,-0.650752
0.028862,18:00:50.749,-0.431205
0.029328,18:00:50.749,-0.152911
0.029793,18:00:50.750,-0.152911
0.030259,18:00:50.750,0.580255
0.030724,18:00:50.751,0.918303
0.031190,18:00:50.751,1.141207
0.031655,18:00:50.752,1.253330
0.032121,18:00:50.752,1.287572
0.032586,18:00:50.753,1.273472
0.033052,18:00:50.753,1.228153
0.033517,18:00:50.754,1.134157
0.033983,18:00:50.754,0.950698
0.034448,18:00:50.754,0.702113
0.034914,18:00:50.755,0.457053
0.035379,18:00:50.755,0.260334
0.035845,18:00:50.756,0.064958
0.036310,18:00:50.756,-0.187488
0.036776,18:00:50.757,-0.438590
0.037241,18:00:50.757,-0.624567
0.037707,18:00:50.758,-0.772442
0.038172,18:00:50.758,-0.930388
0.038638,18:00:50.759,-1.094209
0.039103,18:00:50.759,-1.245945
0.039569,18:00:50.760,-1.378378
0.040034,18:00:50.760,-1.500069
0.040500,18:00:50.761,-1.500069
0.040966,18:00:50.761,-1.659358
0.041431,18:00:50.761,-1.656504
0.041897,18:00:50.762,-1.603128
0.042362,18:00:50.762,-1.506783
0.042828,18:00:50.763,-1.397009
0.043293,18:00:50.763,-1.301335
0.043759,18:00:50.764,-1.204654
0.044224,18:00:50.764,-1.094881
0.044690,18:00:50.765,-1.003235
0.045155,18:00:50.765,-0.954894
0.045621,18:00:50.766,-0.932906
0.046086,18:00:50.766,-0.887755
0.046552,18:00:50.767,-0.807858
0.047017,18:00:50.767,-0.725612
0.047483,18:00:50.768,-0.642191
0.047948,18:00:50.768,-0.524529
0.048414,18:00:50.768,-0.364065
0.048879,18:00:50.769,-0.158953
0.049345,18:00:50.769,0.111284
0.049810,18:00:50.770,0.454032
0.050276,18:00:50.770,0.831357
0.050741,18:00:50.771,1.171084
0.051207,18:00:50.771,1.396170
0.051672,18:00:50.772,1.521889
0.052138,18:00:50.772,1.577447
0.052603,18:00:50.773,1.578958
0.053069,18:00:50.773,1.553948
0.053534,18:00:50.774,1.480934
0.054000,18:00:50.774,1.323156
0.054466,18:00:50.775,1.103944
0.054931,18:00:50.775,0.888090
0.055397,18:00:50.775,0.713527
0.055862,18:00:50.776,0.530068
0.056328,18:00:50.776,0.287861
0.056793,18:00:50.777,0.044816
0.057259,18:00:50.777,-0.126390
0.057724,18:00:50.778,-0.245228
0.058190,18:00:50.778,-0.363729
0.058655,18:00:50.779,-0.486931
0.059121,18:00:50.779,-0.591333
0.059586,18:00:50.780,-0.591333
0.060052,18:00:50.780,-0.755825
0.060517,18:00:50.781,-0.830686
0.060983,18:00:50.781,-0.862577
0.061448,18:00:50.781,-0.829343
0.061914,18:00:50.782,-0.731655
0.062379,18:00:50.782,-0.580255
0.062845,18:00:50.783,-0.422477
0.063310,18:00:50.783,-0.287190
0.063776,18:00:50.784,-0.159960
0.064241,18:00:50.784,-0.019974
0.064707,18:00:50.785,0.107256
0.065172,18:00:50.785,0.196384
0.065638,18:00:50.786,0.260334
0.066103,18:00:50.786,0.341909
0.066569,18:00:50.787,0.451011
0.067034,18:00:50.787,0.561791
0.067500,18:00:50.788,0.684321
0.067966,18:00:50.788,0.848310
0.068431,18:00:50.788,1.049897
0.068897,18:00:50.789,1.285557
0.069362,18:00:50.789,1.573587
0.069828,18:00:50.790,1.931777
0.070293,18:00:50.790,2.311788
0.070759,18:00:50.791,2.622309
0.071224,18:00:50.791,2.807614
0.071690,18:00:50.792,2.886839
0.072155,18:00:50.792,2.898253
0.072621,18:00:50.793,2.872740
0.073086,18:00:50.793,2.815335
0.073552,18:00:50.794,2.682734
0.074017,18:00:50.794,2.443549
0.074483,18:00:50.795,2.153002
0.074948,18:00:50.795,1.881758
