Rel_Time,System_Time,S6_EMG_1,S6_ACC_X,S6_ACC_Y,S6_ACC_Z,S6_GYRO_X,S6_GYRO_Y,S6_GYRO_Z
0.000000,18:03:29.324,1.255009,-0.061401,-0.206604,1.008057,19.404581,-0.404580,4.244275
0.000794,18:03:29.324,1.727337,-0.061401,-0.206604,1.008057,19.404581,-0.404580,4.244275
0.001588,18:03:29.325,2.525628,-0.061401,-0.206604,1.008057,19.404581,-0.404580,4.244275
0.002382,18:03:29.326,3.632761,-0.061401,-0.206604,1.008057,19.404581,-0.404580,4.244275
0.003176,18:03:29.327,5.040009,-0.061401,-0.206604,1.008057,19.404581,-0.404580,4.244275
0.003971,18:03:29.328,5.499916,-0.061401,-0.206604,1.008057,19.404581,-0.404580,4.244275
0.004765,18:03:29.328,5.499916,-0.061401,-0.206604,1.008057,19.404581,-0.404580,4.244275
0.005559,18:03:29.329,5.499916,-0.061401,-0.206604,1.008057,19.404581,-0.404580,4.244275
0.006353,18:03:29.330,5.499916,-0.061401,-0.206604,1.008057,19.404581,-0.404580,4.244275
0.007147,18:03:29.331,5.499916,-0.044189,-0.142822,0.991638,31.534351,-2.786260,3.839695
0.007941,18:03:29.331,5.499916,-0.044189,-0.142822,0.991638,31.534351,-2.786260,3.839695
0.008735,18:03:29.332,5.499916,-0.044189,-0.142822,0.991638,31.534351,-2.786260,3.839695
0.009529,18:03:29.333,5.499916,-0.044189,-0.142822,0.991638,31.534351,-2.786260,3.839695
0.010324,18:03:29.334,5.499916,-0.044189,-0.142822,0.991638,31.534351,-2.786260,3.839695
0.011118,18:03:29.335,5.499916,-0.044189,-0.142822,0.991638,31.534351,-2.786260,3.839695
0.011912,18:03:29.335,5.499916,-0.044189,-0.142822,0.991638,31.534351,-2.786260,3.839695
0.012706,18:03:29.336,5.499916,-0.044189,-0.142822,0.991638,31.534351,-2.786260,3.839695
0.013500,18:03:29.337,5.499916,-0.042419,-0.086304,0.981445,43.053436,-5.229008,0.435115
0.014294,18:03:29.338,5.499916,-0.042419,-0.086304,0.981445,43.053436,-5.229008,0.435115
0.015088,18:03:29.339,5.499916,-0.042419,-0.086304,0.981445,43.053436,-5.229008,0.435115
0.015882,18:03:29.339,5.499916,-0.042419,-0.086304,0.981445,43.053436,-5.229008,0.435115
0.016676,18:03:29.340,5.085664,-0.042419,-0.086304,0.981445,43.053436,-5.229008,0.435115
0.017471,18:03:29.341,5.499916,-0.042419,-0.086304,0.981445,43.053436,-5.229008,0.435115
0.018265,18:03:29.342,5.499916,-0.042419,-0.086304,0.981445,43.053436,-5.229008,0.435115
0.019059,18:03:29.343,5.499916,-0.042419,-0.086304,0.981445,43.053436,-5.229008,0.435115
0.019853,18:03:29.343,3.564950,-0.042419,-0.086304,0.981445,43.053436,-5.229008,0.435115
0.020647,18:03:29.344,5.144747,-0.047424,-0.037109,0.951111,48.877861,-8.083969,-3.801527
0.021441,18:03:29.345,4.915129,-0.047424,-0.037109,0.951111,48.877861,-8.083969,-3.801527
0.022235,18:03:29.346,4.978912,-0.047424,-0.037109,0.951111,48.877861,-8.083969,-3.801527
0.023029,18:03:29.347,5.475074,-0.047424,-0.037109,0.951111,48.877861,-8.083969,-3.801527
0.023824,18:03:29.347,5.499916,-0.047424,-0.037109,0.951111,48.877861,-8.083969,-3.801527
0.024618,18:03:29.348,5.499916,-0.047424,-0.037109,0.951111,48.877861,-8.083969,-3.801527
0.025412,18:03:29.349,5.499916,-0.047424,-0.037109,0.951111,48.877861,-8.083969,-3.801527
0.026206,18:03:29.350,5.499916,-0.047424,-0.037109,0.951111,48.877861,-8.083969,-3.801527
0.027000,18:03:29.351,5.499916,-0.060364,-0.005615,0.904968,43.633587,-11.480916,-5.793893
0.027794,18:03:29.351,5.499916,-0.060364,-0.005615,0.904968,43.633587,-11.480916,-5.793893
0.028588,18:03:29.352,5.499916,-0.060364,-0.005615,0.904968,43.633587,-11.480916,-5.793893
0.029382,18:03:29.353,5.499916,-0.060364,-0.005615,0.904968,43.633587,-11.480916,-5.793893
0.030176,18:03:29.354,5.499916,-0.060364,-0.005615,0.904968,43.633587,-11.480916,-5.793893
0.030971,18:03:29.355,5.499916,-0.060364,-0.005615,0.904968,43.633587,-11.480916,-5.793893
0.031765,18:03:29.355,5.499916,-0.060364,-0.005615,0.904968,43.633587,-11.480916,-5.793893
0.032559,18:03:29.356,5.499916,-0.060364,-0.005615,0.904968,43.633587,-11.480916,-5.793893
0.033353,18:03:29.357,5.499916,-0.060364,-0.005615,0.904968,43.633587,-11.480916,-5.793893
0.034147,18:03:29.358,5.499916,-0.064697,0.007507,0.861572,27.129770,-10.916031,-4.221374
0.034941,18:03:29.358,5.499916,-0.064697,0.007507,0.861572,27.129770,-10.916031,-4.221374
0.035735,18:03:29.359,5.499916,-0.064697,0.007507,0.861572,27.129770,-10.916031,-4.221374
0.036529,18:03:29.360,5.499916,-0.064697,0.007507,0.861572,27.129770,-10.916031,-4.221374
0.037324,18:03:29.361,5.499916,-0.064697,0.007507,0.861572,27.129770,-10.916031,-4.221374
0.038118,18:03:29.362,5.499916,-0.064697,0.007507,0.861572,27.129770,-10.916031,-4.221374
0.038912,18:03:29.362,5.499916,-0.064697,0.007507,0.861572,27.129770,-10.916031,-4.221374
0.039706,18:03:29.363,5.499916,-0.064697,0.007507,0.861572,27.129770,-10.916031,-4.221374
0.040500,18:03:29.364,5.499916,-0.064697,0.007507,0.861572,27.129770,-10.916031,-4.221374
0.041294,18:03:29.365,5.499916,-0.057983,0.006409,0.837280,3.450382,-5.297710,0.702290
