Rel_Time,System_Time,S6_EMG_1,S6_ACC_X,S6_ACC_Y,S6_ACC_Z,S6_GYRO_X,S6_GYRO_Y,S6_GYRO_Z
0.000000,18:23:17.922,1.214389,-0.001587,0.068481,0.952881,3.381679,18.923664,0.763359
0.000794,18:23:17.923,1.163699,-0.001587,0.068481,0.952881,3.381679,18.923664,0.763359
0.001588,18:23:17.923,1.083467,-0.001587,0.068481,0.952881,3.381679,18.923664,0.763359
0.002382,18:23:17.924,0.996521,-0.001587,0.068481,0.952881,3.381679,18.923664,0.763359
0.003176,18:23:17.925,0.881880,-0.001587,0.068481,0.952881,3.381679,18.923664,0.763359
0.003971,18:23:17.926,0.702785,-0.001587,0.068481,0.952881,3.381679,18.923664,0.763359
0.004765,18:23:17.927,0.488609,-0.001587,0.068481,0.952881,3.381679,18.923664,0.763359
0.005559,18:23:17.927,0.281483,-0.001587,0.068481,0.952881,3.381679,18.923664,0.763359
0.006353,18:23:17.928,0.075196,-0.001587,0.068481,0.952881,3.381679,18.923664,0.763359
0.007147,18:23:17.929,-0.184802,-0.003235,0.070740,0.953125,5.343512,18.114504,0.633588
0.007941,18:23:17.930,-0.480385,-0.003235,0.070740,0.953125,5.343512,18.114504,0.633588
0.008735,18:23:17.931,-0.726955,-0.003235,0.070740,0.953125,5.343512,18.114504,0.633588
0.009529,18:23:17.931,-0.901518,-0.003235,0.070740,0.953125,5.343512,18.114504,0.633588
0.010324,18:23:17.932,-1.037140,-0.003235,0.070740,0.953125,5.343512,18.114504,0.633588
0.011118,18:23:17.933,-1.140200,-0.003235,0.070740,0.953125,5.343512,18.114504,0.633588
0.011912,18:23:17.934,-1.188540,-0.003235,0.070740,0.953125,5.343512,18.114504,0.633588
0.012706,18:23:17.935,-1.177798,-0.003235,0.070740,0.953125,5.343512,18.114504,0.633588
0.013500,18:23:17.935,-0.102220,-0.007935,0.076233,0.956299,6.450382,17.740458,0.503817
0.014294,18:23:17.936,0.013931,-0.007935,0.076233,0.956299,6.450382,17.740458,0.503817
0.015088,18:23:17.937,0.173724,-0.007935,0.076233,0.956299,6.450382,17.740458,0.503817
0.015882,18:23:17.938,0.381186,-0.007935,0.076233,0.956299,6.450382,17.740458,0.503817
0.016676,18:23:17.939,0.568505,-0.007935,0.076233,0.956299,6.450382,17.740458,0.503817
0.017471,18:23:17.939,0.692042,-0.007935,0.076233,0.956299,6.450382,17.740458,0.503817
0.018265,18:23:17.940,0.777981,-0.007935,0.076233,0.956299,6.450382,17.740458,0.503817
0.019059,18:23:17.941,0.844785,-0.007935,0.076233,0.956299,6.450382,17.740458,0.503817
0.019853,18:23:17.942,0.892119,-0.007935,0.076233,0.956299,6.450382,17.740458,0.503817
0.020647,18:23:17.943,0.940459,-0.001709,0.077942,0.954956,8.320611,16.961832,0.404580
